Nested Sampling Global Log-Evidence           :    0.138876673680138907E+03  +/-    0.364161210845681871E+00
Nested Importance Sampling Global Log-Evidence:    0.136001192938930075E+03  +/-    0.280204990847704311E-01

Dim No.       Mean        Sigma
   1    0.199360478612035740E+04    0.188320420431728479E+02
   2   -0.683269320784819456E+03    0.794622341917849866E+02
   3    0.926889573779449734E+03    0.123306186302355144E+03
   4   -0.656166677283525928E+03    0.835491383131606113E+02
   5    0.170182332048723396E+03    0.209566737495830431E+02
   6    0.104503234762468278E+01    0.174727273806910000E+00
   7    0.779621779535168429E+02    0.322439329107866213E+00
   8    0.193010301636587798E+02    0.653686102066074137E+00
   9    0.349749651725541533E+01    0.860818967396736912E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.198398402051836547E+04
   2   -0.644588214806075484E+03
   3    0.870247415057217950E+03
   4   -0.620457121643275059E+03
   5    0.161990561634724145E+03
   6    0.977699133063725134E+00
   7    0.779416386221089539E+02
   8    0.192184450603158297E+02
   9    0.365036502928945605E+01

MAP Parameters
Dim No.        Parameter
   1    0.198398402051836547E+04
   2   -0.644588214806075484E+03
   3    0.870247415057217950E+03
   4   -0.620457121643275059E+03
   5    0.161990561634724145E+03
   6    0.977699133063725134E+00
   7    0.779416386221089539E+02
   8    0.192184450603158297E+02
   9    0.365036502928945605E+01
