Nested Sampling Global Log-Evidence           :   -0.150547156021889329E+10  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.150547155926830149E+10  +/-    0.370638003785374370E+00

Dim No.       Mean        Sigma
   1    0.850778998684401166E+01    0.357627868652343750E-06
   2   -0.236689232630368096E+01    0.176312916967261318E-06
   3    0.172647538838444671E-01    0.839482824193311186E-09
   4   -0.106074323633708523E+01                         NaN
   5   -0.228236459351887699E+01                         NaN
   6    0.836753200778309036E+01    0.429815205986975327E-06
   7   -0.224157911721803416E+01                         NaN
   8    0.192827632431885110E+00    0.263417803193087717E-08
   9   -0.176620577480544028E+01                         NaN
  10   -0.456347033127596990E+01    0.103238273118071389E-06
  11    0.443421953724621676E+00    0.534679744184289996E-07
  12    0.876177964850585944E+01    0.292001931999108539E-06
  13    0.189363927262139526E+02    0.715255737304687500E-06

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.850778998677401432E+01
   2   -0.236689232597041155E+01
   3    0.172647529902860697E-01
   4   -0.106074323792404357E+01
   5   -0.228236459849858875E+01
   6    0.836753200777229722E+01
   7   -0.224157911760948991E+01
   8    0.192827632060925680E+00
   9   -0.176620577419089386E+01
  10   -0.456347033137740254E+01
  11    0.443421951992272301E+00
  12    0.876177947295951398E+01
  13    0.189363926902269313E+02

MAP Parameters
Dim No.        Parameter
   1    0.850778998677401432E+01
   2   -0.236689232597041155E+01
   3    0.172647529902860697E-01
   4   -0.106074323792404357E+01
   5   -0.228236459849858875E+01
   6    0.836753200777229722E+01
   7   -0.224157911760948991E+01
   8    0.192827632060925680E+00
   9   -0.176620577419089386E+01
  10   -0.456347033137740254E+01
  11    0.443421951992272301E+00
  12    0.876177947295951398E+01
  13    0.189363926902269313E+02
