Nested Sampling Global Log-Evidence           :    0.367048684511660710E+02  +/-    0.265936357270276869E+00
Nested Importance Sampling Global Log-Evidence:    0.332291596670935405E+02  +/-    0.215183416296787638E+00

Dim No.       Mean        Sigma
   1    0.536825146087728378E+01    0.377476288448112696E+01
   2    0.831798993010799848E+00    0.163291786529316170E+02
   3    0.451467112009555471E+01    0.261643050289693271E+02
   4   -0.106502134655680294E+02    0.184161967596284590E+02
   5    0.491694872043990205E+01    0.480648315929193881E+01
   6    0.960436149374012560E+00    0.583392866488341766E+00
   7    0.190123349777769377E+02    0.124067814066658357E+02
   8    0.169744083240038499E+02    0.113242021565987656E+02
   9    0.518448471614241591E+01    0.289314703659660521E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111404248552839036E+02
   2   -0.243055980743513089E+02
   3    0.449936088168968809E+02
   4   -0.392307720205543404E+02
   5    0.123862211403339160E+02
   6    0.345953180125024365E-01
   7    0.604354176545746427E+02
   8    0.410636418033504480E+01
   9    0.596965984361308966E+01

MAP Parameters
Dim No.        Parameter
   1    0.111404248552839036E+02
   2   -0.243055980743513089E+02
   3    0.449936088168968809E+02
   4   -0.392307720205543404E+02
   5    0.123862211403339160E+02
   6    0.345953180125024365E-01
   7    0.604354176545746427E+02
   8    0.410636418033504480E+01
   9    0.596965984361308966E+01
